Title,Year,Rated,Genre,Director,Actors,imdbRating
The Witch,2015,R,"Horror, Mystery",Robert Eggers,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Harvey Scrimshaw",6.8
Eddie the Eagle,2016,PG-13,"Biography, Comedy, Drama",Dexter Fletcher,"Tom Costello, Jo Hartley, Keith Allen, Dickon Tolson",7.4
Gods of Egypt,2016,PG-13,"Action, Adventure, Fantasy",Alex Proyas,"Brenton Thwaites, John Samaha, Courtney Eaton, Nikolaj Coster-Waldau",5.4
Triple 9,2016,R,"Action, Crime, Drama",John Hillcoat,"Chiwetel Ejiofor, Casey Affleck, Anthony Mackie, Woody Harrelson",6.3
London Has Fallen,2016,R,"Action, Drama, Thriller",Babak Najafi,"Alon Aboutboul, Waleed Zuaiter, Adel Bencherif, Mehdi Dehbi",5.9
The Other Side of the Door,2016,R,Horror,Johannes Roberts,"Sarah Wayne Callies, Jeremy Sisto, Sofia Rosinsky, Logan Creran",5.3
Whiskey Tango Foxtrot,2016,R,"Biography, Comedy, Drama","Glenn Ficarra, John Requa","Tina Fey, Margot Robbie, Martin Freeman, Alfred Molina",6.6
Zootopia,2016,PG,"Animation, Adventure, Comedy","Byron Howard, Rich Moore, Jared Bush(co-director)","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate",8.0
10 Cloverfield Lane,2016,PG-13,"Drama, Horror, Mystery",Dan Trachtenberg,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin",7.2
The Brothers Grimsby,2016,R,"Action, Adventure, Comedy",Louis Leterrier,"Sacha Baron Cohen, Rebel Wilson, Freddie Crowder, Jon-Jon Lockwood",6.2
The Young Messiah,2016,PG-13,"Drama, Fantasy",Cyrus Nowrasteh,"Adam Greaves-Neal, Sara Lazzaro, Vincent Walsh, Finn Ireland",5.5
Allegiant,2016,PG-13,"Action, Adventure, Mystery",Robert Schwentke,"Shailene Woodley, Theo James, Naomi Watts, Octavia Spencer",5.7
Midnight Special,2016,PG-13,"Drama, Mystery, Sci-Fi",Jeff Nichols,"Michael Shannon, Joel Edgerton, Kirsten Dunst, Adam Driver",6.7
Batman v Superman: Dawn of Justice,2016,PG-13,"Action, Adventure, Sci-Fi",Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg",6.6
My Big Fat Greek Wedding 2,2016,PG-13,"Comedy, Family, Romance",Kirk Jones,"Nia Vardalos, John Corbett, Michael Constantine, Lainie Kazan",6.0
Everybody Wants Some!!,2016,R,Comedy,Richard Linklater,"Blake Jenner, Juston Street, Ryan Guzman, Tyler Hoechlin",7.0
The Boss,2016,R,Comedy,Ben Falcone,"Melissa McCarthy, Kristen Bell, Peter Dinklage, Ella Anderson",5.4
