Title,Year,Rated,Genre,Director,Actors,imdbRating
Hidden Figures,2016,PG,"Biography, Drama, History",Theodore Melfi,"Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kevin Costner",7.8
UnderWorld: Blood Wars,2016,R,"Action, Adventure, Fantasy",Anna Foerster,"Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver",5.8
A Monster Calls,2016,PG-13,"Drama, Fantasy",J.A. Bayona,"Lewis MacDougall, Sigourney Weaver, Felicity Jones, Toby Kebbell",7.5
Silence,2016,R,"Adventure, Drama, History",Martin Scorsese,"Andrew Garfield, Adam Driver, Liam Neeson, Tadanobu Asano",7.2
Patriots Day,2016,R,"Crime, Drama, History",Peter Berg,"Mark Wahlberg, Dicky Eklund Jr., Michael Marchand, Rhet Kidd",7.4
Monster Trucks,2016,PG,"Action, Adventure, Comedy",Chris Wedge,"Lucas Till, Jane Levy, Thomas Lennon, Barry Pepper",5.7
Live By Night,2016,R,"Action, Crime, Drama",Ben Affleck,"Ben Affleck, Elle Fanning, Remo Girone, Brendan Gleeson",6.4
The Bye Bye Man,2017,PG-13,"Horror, Thriller",Stacy Title,"Douglas Smith, Lucien Laviscount, Cressida Bonas, Doug Jones",4.3
XXX: Return Of Xander Cage,2017,PG-13,"Action, Adventure, Thriller",D.J. Caruso,"Vin Diesel, Donnie Yen, Deepika Padukone, Kris Wu",5.2
The Founder,2016,PG-13,"Biography, Drama, History",John Lee Hancock,"Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini",7.2
Split,2016,PG-13,"Horror, Thriller",M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Betty Buckley, Haley Lu Richardson",7.3
Resident Evil: The Final Chapter,2016,R,"Action, Horror, Sci-Fi",Paul W.S. Anderson,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts",5.6
Gold,2016,R,"Adventure, Drama, Thriller",Stephen Gaghan,"Matthew McConaughey, Edgar Ramírez, Bryce Dallas Howard, Corey Stoll",6.7
A Dog's Purpose,2017,PG,"Adventure, Comedy, Drama",Lasse Hallström,"Josh Gad, Dennis Quaid, Peggy Lipton, Bryce Gheisar",6.9
